Event Date	App Name	App Apple ID	Subscription Name	Subscription Apple ID	Subscription Group ID	Standard Subscription Duration	Subscription Offer Name	Promotional Offer ID	Subscription Offer Type	Subscription Offer Duration	Marketing Opt-In Duration	Customer Price	Customer Currency	Developer Proceeds	Proceeds Currency	Preserved Pricing	Proceeds Reason	Client	Device	Country	Subscriber ID	Subscriber ID Reset	Refund	Purchase Date	Units
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month						4.99	EUR	3.38	EUR	 	 	 	iPhone	FI	189735161454120				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month						4.99	EUR	3.38	EUR	 	 	 	iPhone	FI	476607289432640				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	189735187412255				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.45	EUR	 	Rate After One Year	 	iPhone	PT	420713654836337				1
2026-05-01	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly	6444699214	21069661	1 Year						30.99	EUR	20.99	EUR	 	Rate After One Year	 	iPhone	FI	273715652934607				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month			Free Trial	2 Weeks		0.00	EUR	0.00	EUR	 	 	 	iPhone	DE	154587358939190				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month			Free Trial	2 Weeks		0.00	GBP	0.00	GBP	 	 	 	iPhone	GB	462656544902603				1
2026-04-29	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	539533427747204				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	Rate After One Year	 	iPhone	FI	630598816419322				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						50.00	SEK	34.00	SEK	 	 	 	iPhone	SE	455607595776419				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						39.00	DKK	26.52	DKK	 	 	 	iPhone	DK	448670969699206				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly 14d	6747807750	21069661	1 Month						59.00	SEK	40.12	SEK	 	 	 	iPhone	SE	791482973521438				1
2026-05-01	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	 	 	iPhone	FI	581613820618595				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Yearly 14d	6747804431	21069661	1 Year						29.99	USD	25.49	USD	 	 	 	iPhone	US	497593081945500				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.38	EUR	 	 	 	iPhone	FI	224774238792854				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						25.90	BRL	19.24	BRL	 	Rate After One Year	 	iPhone	BR	203702505311748				1
2026-04-30	Sports Tracker: Run Bike Hike	426684873	Sports Tracker Premium Monthly	6444886816	21069661	1 Month						4.99	EUR	3.50	EUR	 	Rate After One Year	 	iPhone	ES	252674882577973				1
